Кочерёжкин Марк Эдуардович
Минкин Ян Семенович
Попков Венедикт Мирославович
Аксёнов Валентин Серафимович
Невшупа Иларион Евлампиевич
Косицкий Эрнст Климентович
Фёдоров Мартын Адамович
Боярский Прохор Ефремович
Чуринов Афанасий Давидович
Содовский Денис Эрнестович
Элефтеров Леонид Ильевич
Яснеев Александр Савелиевич
Ивашкин Всеволод Самсонович
Глинин Сергей Агапович
Ерёмин Ефрем Тихонович
Краснянский Федор Вячеславович
Сонин Радион Якубович
Шукшин Владимир Демьянович
Кунаев Феоктист Иванович
Кандинский Парфен Моисеевич
